	age	household_position	household_size	prev_residence_place	citizenship	country_birth	edu_level	economic_status	cur_eco_activity	Marital_status
0	6	1131	112	1	1	1	5	111	135	1
1	10	1122	113	1	1	1	2	111	122	2
2	8	1122	113	1	1	1	2	111	122	2
3	12	1121	112	1	1	1	1	111	137	2
4	4	1110	114	1	1	1	2	111	138	1
5	8	1122	126	1	1	1	2	120	131	2
6	11	1122	114	1	1	1	5	111	135	2
7	12	1121	112	1	1	1	2	111	138	2
8	8	1122	114	1	1	1	5	111	135	2
9	14	1131	112	1	1	1	3	111	131	4
10	10	1122	114	1	1	1	3	111	136	2
11	5	1110	114	1	1	1	3	112	131	1
12	10	1122	114	1	1	1	5	111	137	2
13	8	1122	126	1	1	1	5	120	134	2
14	4	1110	113	1	1	1	2	111	135	1
15	7	1210	111	1	1	1	3	111	138	1
16	6	1132	113	1	1	1	2	120	131	1
17	9	1121	112	1	1	1	2	111	139	2
18	11	1122	114	1	1	1	3	111	131	2
19	7	1122	113	1	1	1	5	111	137	2
20	8	1122	113	1	1	1	3	111	133	2
21	6	1110	113	2	1	1	5	111	135	1
22	6	1210	111	1	1	1	5	111	139	1
23	9	1122	114	1	1	1	5	111	137	2
24	10	1122	114	1	1	1	4	120	135	2
25	7	1131	112	1	1	1	4	111	124	1
26	8	1132	113	1	1	1	2	111	122	1
27	10	1122	113	1	1	1	2	120	139	2
28	13	1121	112	1	1	1	5	120	138	2
29	7	1122	113	1	1	1	5	111	135	2
30	7	1121	112	1	1	1	5	111	138	2
31	7	1122	125	1	1	1	3	111	138	2
32	4	1110	114	1	1	1	3	111	131	1
33	7	1140	113	1	1	1	3	111	131	4
34	7	1122	113	1	1	1	4	120	111	2
35	11	1122	114	1	1	1	5	111	137	2
36	7	1132	113	1	1	1	3	111	124	1
37	8	1122	113	1	1	1	3	111	135	2
38	10	1122	113	1	1	1	2	111	131	2
39	9	1122	114	1	1	1	2	111	122	2
40	9	1122	114	1	1	1	3	120	135	2
41	9	1110	113	1	1	1	2	111	138	1
42	11	1140	112	1	1	1	5	111	136	4
43	6	1132	113	1	1	1	1	111	138	4
44	11	1122	114	1	1	1	3	120	111	2
45	9	1122	113	2	1	1	2	111	135	2
46	10	1122	114	1	1	1	5	111	138	2
47	9	1122	125	1	1	1	5	111	137	2
48	7	1132	114	1	1	1	3	111	135	1
49	5	1110	113	1	1	1	4	111	133	1
50	6	1122	113	1	1	2	3	111	136	2
51	6	1131	112	1	1	1	5	111	138	1
52	6	1122	113	1	1	1	3	111	131	2
53	8	1210	111	1	1	1	5	111	131	1
54	8	1121	112	1	1	1	4	111	136	2
55	11	1131	112	1	1	1	5	111	134	3
56	8	1210	111	1	1	1	3	111	122	1
57	9	1122	114	1	1	3	1	111	135	2
58	8	1132	113	1	1	1	5	111	122	1
59	9	1122	114	1	1	1	4	111	134	2
60	11	1122	113	1	1	1	3	111	122	2
61	4	1110	114	1	1	1	3	111	138	1
62	6	1110	114	1	1	1	5	111	122	1
63	7	1122	113	1	1	1	5	111	138	2
