	index	sex	origin_cluster	degree_cluster	LSAT	UGPA	ZFYA	birth_date	major	Zcum	attempts	sander_index	region_first_FW	region_first_GL	region_first_MS	region_first_MW	region_first_Mt	region_first_NE	region_first_NG	region_first_NW	region_first_PO	region_first_SC	region_first_SE	region_first_nan	region_last_FW	region_last_GL	region_last_MS	region_last_MW	region_last_Mt	region_last_NE	region_last_NG	region_last_NW	region_last_PO	region_last_SC	region_last_SE	region_last_nan
0	0	1	3.0	3.0	39.0	3.1	-0.98	69.58333333333333	2.0	-1.3	1.0	0.7827380952380952	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
1	1	1	3.0	3.0	36.0	3.0	0.09	68.91666666666667	1.0	-0.08	1.0	0.7357142857142858	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
2	2	2	3.0	3.0	30.0	3.1	-0.35	69.5	5.0	0.18	1.0	0.6702380952380953	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
3	6	1	3.0	3.0	37.0	3.4	-1.26	58.833333333333336	2.0	-1.38	1.0	0.7863095238095238	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
4	7	1	3.0	3.0	30.5	3.6	0.3	69.25	2.0	0.83	1.0	0.7241071428571428	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
5	8	2	3.0	3.0	36.0	3.6	-0.1	55.083333333333336	6.0	-0.42	1.0	0.7928571428571428	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
6	9	2	3.0	3.0	37.0	2.7	-0.12	65.41666666666667	3.0	-0.19	1.0	0.7196428571428573	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
7	13	1	3.0	3.0	37.0	2.6	1.53	66.58333333333333	5.0	1.51	1.0	0.7101190476190476	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
8	14	2	3.0	3.0	31.0	3.6	0.34	69.58333333333333	2.0	-0.05	1.0	0.7303571428571429	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
9	16	2	3.0	3.0	41.0	3.2	1.53	69.33333333333333	3.0	1.51	1.0	0.8172619047619047	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
10	17	2	3.0	3.0	35.0	3.1	-0.68	57.5	1.0	-0.67	1.0	0.7327380952380952	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
11	19	1	3.0	3.0	35.0	3.2	-0.17	69.16666666666667	1.0	-0.79	1.0	0.7422619047619048	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
12	21	2	3.0	3.0	35.0	2.9	-0.42	58.583333333333336	1.0	0.55	1.0	0.7136904761904761	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
13	22	2	3.0	3.0	41.0	2.3	-0.35	65.75	3.0	-0.59	1.0	0.731547619047619	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
14	23	2	3.0	3.0	30.5	3.3	0.85	66.08333333333333	1.0	0.49	1.0	0.6955357142857143	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
15	24	1	3.0	3.0	36.0	3.0	0.04	67.83333333333333	3.0	0.32	1.0	0.7357142857142858	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
16	25	2	3.0	3.0	40.0	3.9	2.48	57.5	1.0	2.34	1.0	0.8714285714285714	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
17	26	2	3.0	3.0	36.0	3.4	0.27	69.58333333333333	1.0	0.55	1.0	0.7738095238095237	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
18	27	2	3.0	3.0	29.0	2.7	0.88	66.25	3.0	1.06	1.0	0.6196428571428572	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
19	28	2	3.0	3.0	37.0	3.2	0.58	69.0	2.0	0.83	1.0	0.7672619047619048	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
20	29	2	3.0	3.0	30.0	3.1	1.99	68.25	2.0	2.29	1.0	0.6702380952380953	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
21	30	2	3.0	3.0	40.0	3.1	-0.8	62.583333333333336	2.0	-0.53	1.0	0.7952380952380953	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
22	32	1	3.0	3.0	37.0	3.6	0.81	62.25	1.0	0.97	1.0	0.8053571428571429	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
23	33	2	3.0	3.0	29.0	2.8	-1.03	69.41666666666667	2.0	-1.21	1.0	0.6291666666666667	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
24	35	2	3.0	3.0	34.0	2.8	-0.12	68.5	2.333299196067387	-0.33	1.0	0.6916666666666667	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
25	37	2	3.0	3.0	35.0	3.0	-0.61	68.91666666666667	2.0	-1.01	1.0	0.7232142857142857	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
26	38	2	3.0	3.0	40.0	3.4	-0.73	69.25	2.0	-0.9	1.0	0.8238095238095238	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
27	39	2	3.0	3.0	36.0	2.6	-0.63	67.75	2.333299196067387	-0.96	1.0	0.6976190476190476	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
28	40	2	3.0	3.0	29.0	2.9	-0.02	65.91666666666667	2.0	-0.51	1.0	0.6386904761904761	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
29	41	2	3.0	3.0	35.0	2.5	0.02	67.83333333333333	5.0	-0.02	1.0	0.675595238095238	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
30	43	2	3.0	3.0	32.0	3.4	0.65	67.0	2.0	0.09	1.0	0.7238095238095237	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
31	44	1	3.0	3.0	36.0	2.7	-0.05	67.91666666666667	1.0	0.32	1.0	0.7071428571428571	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
32	46	2	3.0	3.0	36.0	3.3	0.53	63.416666666666664	2.0	0.58	1.0	0.7642857142857142	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
33	47	2	3.0	3.0	36.0	2.5	-1.1	70.0	7.0	-1.27	2.0	0.6880952380952381	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
34	49	2	3.0	3.0	38.0	3.6	1.41	55.083333333333336	3.0	1.94	1.0	0.8178571428571428	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
35	50	2	3.0	3.0	36.0	3.6	1.18	69.0	3.0	1.03	1.0	0.7928571428571428	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
36	51	2	3.0	3.0	32.5	3.2	0.76	69.75	2.0	0.66	1.0	0.7110119047619048	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
37	52	1	3.0	3.0	27.0	3.5	-1.05	52.25	1.0	-1.64	2.0	0.6708333333333333	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
38	53	2	3.0	3.0	36.0	2.4	0.39	64.0	3.0	0.29	1.0	0.6785714285714285	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
39	56	1	3.0	3.0	19.0	3.2	-0.7	64.33333333333333	2.0	-0.45	2.0	0.5422619047619048	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
40	57	1	3.0	3.0	34.0	3.7	1.23	69.91666666666667	2.0	0.89	1.0	0.7773809523809524	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
41	58	1	3.0	3.0	35.0	3.1	1.71	69.58333333333333	3.0	1.83	1.0	0.7327380952380952	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
42	60	2	3.0	3.0	36.0	2.8	-0.17	68.25	2.0	0.01	1.0	0.7166666666666666	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
43	63	1	3.0	3.0	38.0	3.7	-0.05	66.83333333333333	2.0	0.66	1.0	0.8273809523809523	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
44	64	2	3.0	3.0	34.0	3.2	0.37	69.75	3.0	0.24	1.0	0.7297619047619048	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
45	65	2	3.0	3.0	38.0	2.8	0.44	68.66666666666667	3.0	0.18	1.0	0.7416666666666667	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
46	66	1	3.0	3.0	36.0	3.4	0.46	69.33333333333333	1.0	-0.13	1.0	0.7738095238095237	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
47	67	1	3.0	3.0	42.0	3.5	-0.42	66.58333333333333	1.0	-0.05	1.0	0.8583333333333334	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
48	68	2	3.0	3.0	29.0	2.3	-0.93	67.58333333333333	2.0	-1.18	2.0	0.581547619047619	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
49	69	2	3.0	3.0	31.0	3.7	-0.49	65.0	2.0	-0.19	1.0	0.7398809523809524	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
50	70	1	3.0	3.0	23.0	2.6	0.48	69.16666666666667	3.0	0.07	1.0	0.5351190476190476	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
51	71	2	3.0	3.0	37.0	3.8	0.72	69.25	1.0	1.12	1.0	0.8244047619047619	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
52	72	1	3.0	3.0	33.0	3.3	-1.24	46.833333333333336	3.0	-1.35	1.0	0.7267857142857143	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
53	73	2	3.0	3.0	35.0	3.3	-0.7	69.0	2.0	-0.59	1.0	0.7517857142857143	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
54	74	2	3.0	3.0	36.0	3.2	0.83	69.16666666666667	2.0	0.04	1.0	0.7547619047619047	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
55	76	2	3.0	3.0	35.5	2.4	-0.63	67.41666666666667	5.0	-0.76	1.0	0.6723214285714286	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
56	77	2	3.0	3.0	41.0	3.4	-0.05	69.25	3.0	-1.18	1.0	0.8363095238095237	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
57	78	1	3.0	3.0	34.0	3.5	0.55	69.58333333333333	1.0	0.49	1.0	0.7583333333333333	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
58	80	2	3.0	3.0	29.0	3.3	-0.98	61.833333333333336	2.0	-1.04	2.0	0.6767857142857143	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
59	81	1	3.0	3.0	33.0	3.3	1.27	68.5	2.0	0.97	1.0	0.7267857142857143	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
60	82	2	3.0	3.0	32.0	2.9	-0.62	66.41666666666667	2.333299196067387	-1.22	1.0	0.6761904761904762	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
61	83	2	3.0	4.0	39.0	2.3	0.51	65.83333333333333	2.0	0.07677811394287472	1.0	0.706547619047619	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
62	85	1	3.0	3.0	39.0	3.4	-0.56	68.25	1.0	-0.7	1.0	0.8113095238095238	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
63	86	1	3.0	3.0	39.0	3.0	-0.42	66.91666666666667	2.0	-0.81	1.0	0.7732142857142857	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
64	87	1	3.0	3.0	32.0	3.8	-0.08	67.08333333333333	1.0	0.49	1.0	0.7619047619047619	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
65	88	2	3.0	3.0	29.0	3.3	-1.19	64.91666666666667	3.0	-0.99	3.0	0.6767857142857143	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
66	89	2	3.0	3.0	31.0	3.0	-1.07	65.08333333333333	3.0	-0.59	1.0	0.6732142857142858	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
67	90	1	3.0	3.0	36.0	3.3	-0.49	62.25	3.0	0.09	1.0	0.7642857142857142	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
68	91	2	3.0	3.0	27.0	2.4	-1.66	67.0	2.0	-1.07	3.0	0.5660714285714286	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
69	92	2	3.0	3.0	30.0	3.5	1.39	61.75	2.0	1.46	1.0	0.7083333333333333	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
70	94	2	3.0	3.0	38.0	3.5	2.78	64.41666666666667	1.0	2.76	1.0	0.8083333333333333	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
71	95	1	3.0	3.0	34.0	2.8	-0.63	68.33333333333333	2.0	-0.81	1.0	0.6916666666666667	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
72	96	2	3.0	5.0	37.0	3.7	1.32	68.75	3.0	0.07677811394287472	1.0	0.8148809523809524	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
73	98	2	3.0	3.0	43.0	3.0	0.1	68.0	2.0	-0.49	1.0	0.8232142857142857	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
74	99	2	3.0	3.0	42.0	2.9	-0.62	69.58333333333333	3.0	-0.49	1.0	0.8011904761904762	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
75	100	2	3.0	3.0	33.5	3.4	0.69	68.5	2.0	0.35	1.0	0.7425595238095237	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
76	101	2	3.0	3.0	25.0	2.9	-0.9	69.91666666666667	3.0	-1.19	1.0	0.5886904761904762	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
77	102	1	3.0	3.0	38.0	3.4	1.23	69.16666666666667	1.0	0.62	1.0	0.7988095238095237	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
78	103	2	3.0	3.0	42.0	3.6	0.7	69.41666666666667	2.0	0.67	1.0	0.8678571428571429	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
79	104	2	3.0	3.0	37.0	3.5	-1.64	69.16666666666667	1.0	-1.91	1.0	0.7958333333333334	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
80	106	2	3.0	3.0	29.5	3.5	-0.24	61.0	2.0	-0.02	1.0	0.7020833333333334	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
81	107	2	3.0	3.0	41.0	3.1	-0.05	69.08333333333333	2.0	-0.16	1.0	0.8077380952380953	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
82	108	1	3.0	3.0	38.0	3.6	-1.0	69.33333333333333	3.0	-1.33	1.0	0.8178571428571428	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
83	109	1	3.0	3.0	42.0	3.2	-0.22	65.91666666666667	3.0	0.29	1.0	0.8297619047619048	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
84	110	1	3.0	3.0	35.5	3.3	2.26	66.83333333333333	3.0	2.83	1.0	0.7580357142857144	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
85	111	1	3.0	3.0	36.0	3.6	-0.85	69.66666666666667	1.0	-0.94	1.0	0.7928571428571428	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
86	112	1	3.0	3.0	39.0	3.5	-0.71	68.5	2.0	-0.49	1.0	0.8208333333333333	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
